Louis Amy Quote ,Calculation Formulas,//Notes to AI Agent Coder,,,,,,
Building Use,Residential,//Drop Drown Selection ,,,,,,
Building Type,Residence - Private,//Drop Drown Selection filtered by Building Type,,,,,,
Building Tier,Mid-Range Standard Residential,//Drop Drown Selection filtered by Building use selection,,,,,,
Category,Category 5,//Map Category by previous selections // Category 1 = 0.9 // Category 2 = 1.0 // Category 3 =1.1 // Category 4 = 1.2 // Category 5 = 1.3,,,,,,
Design Level,3,"//Map ""Design Level"" equals to "" Tier  (1,2,3)"" // 1=Basic Design // 2=Standard Design // 3=Full Design // map this to the databbase ""cost_ranges"" this afect construction cost and interior exterior and shell shares",,,,,,
New Building Area (ft²), -   ,//New Construction,,,,,,
Existing Building Area (ft²)," 4,407.00 ",//Reconstruction / Remodel,,,,,,
Site Area (m2)," 1,000.00 ",//Use Site Area for Scan to Bim calculation,,,,,,
,,,,,,,,
,,,,,,,,
Multipliers,Selection,,,,,,,
Historic Property Multiplier,1,1,1.2,,,,,
Remodel Multiplier,0.55,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Key,Mid-Range Standard Residential|3,// Do not display,,,,,,
New Construction ,0.00%,//display with a dounugth chart,,,,,,
Existing to Remodel,100.00%,//display with a dougnuth chart,,,,,,
,,,,,,,,
New Construction Min $/ft², $380.00 ,// minimum end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Min $/ft², $209.00 ,// minimum end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
New Construction Target $/ft², $390.00 ,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
Existing to Remodel Target $/ft², $214.50 ,// Average by default // Allow Overwrite by moving a dot on the slider ,,,,,,
,,,,,,,,
New Construction  Max $/ft², $400.00 ,// Max end (bracket)  of slider //Fixed ,,,,,,
Existing to Remodel Max $/ft², $220.00 ,// Max end (bracket)  of slider //Fixed ,,,,,,
,,,,,,,,
,,,,,,,,
Total Budget ," $945,301.50 ",//Calculate,,,,,,
New Construction Budget , $-   ,,,,,,,
Existing to Remodel Budget," $945,301.50 ",,,,,,,
,,,,,,,,
Project Shell  Share,66.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Interior Share,22.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
Project Landscape Share,12.00%,//From database to set the default // Allow Overwrite with a slider,,,,,,
,,,,,,,,
Building Shell Minimum Total Budget," $623,898.99 ",//Card,,,,,,
New Construction Shell Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Shell Minimum Total Budget," $623,898.99 ",Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Minimum Budget," $207,966.33 ",//Card,,,,,,
New Construction Interior Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Interior Minimum Total Budget," $207,966.33 ",Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Minimum Budget," $113,436.18 ",//Card,,,,,,
New Construction Landscape Minimum Total Budget, $-   ,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel Landscape Minimum Total Budget," $113,436.18 ",Hidden inside - display number and graphically ,,,,,,
,New construction Leverage,Existing to Remodel Leverage,,,,,,
Architectural Design Share,35%,43%,,,,,,
Interior Design Share,22%,22%,,,,,,
Landscape Design Share,12%,12%,,,,,,
Structural Design Share,17%,9%,,,,,,
Civil Design Share,3%,3%,,,,,,
Mechanical Design Share,4%,4%,,,,,,
Electrical Design Share,3%,3%,,,,,,
Plumbing Design Share,2%,2%,,,,,,
Telecomunication Design,1%,1%,,,,,,
,,,,,,,,
Architecture Budget," $406,782.14 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $406,782.14 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Interior Budget," $207,966.33 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $207,966.33 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Landscape Budget," $113,436.18 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $113,436.18 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Structural Budget," $89,217.56 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $89,217.56 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Civil Budget," $31,194.95 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $31,194.95 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Mechanical Budget," $37,433.94 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $37,433.94 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Electrical Budget," $28,075.45 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $28,075.45 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Plumbing Budget," $21,836.46 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $21,836.46 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Telecomunication Budget," $9,358.48 ",// Visualize data graphicaly inside a card // expand when click to reveal hidden info.,,,,,,
New Construction, $-   ,//Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $9,358.48 ",//Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
Working Minimum Budget," $945,301.50 ",,,,,,,
New Construction, $-   ,Hidden inside - display number and graphically ,,,,,,
Existing to Remodel," $945,301.50 ",Hidden inside - display number and graphically ,,,,,,
,,,,,,,,
,,,,,,,,
Category Multiplier,1.3,// Do Not Display  // Base on Building Category ,,,,,,
Coordination Fee,15%,,,,,,,
Markup,100%,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Top Down Fee Analysis," $9,358.48 ",,,,,,,
Scope,Percent of Project Cost %,Rate per sq-ft,Market Fee,Louis Amy Market Fee,Aproximate Hours,Cordination Fee,Consultants,
Scan to Bim - Building,, $1 ," $5,157 "," $5,157 ", 31 , $-   , $-   ,
Scan to Bim - Site,, $0.2 ," $2,162 "," $2,162 ", 13 , $-   , $-   ,
Architecture (Design + Consultant Admin.),17%, $16 ," $69,339 "," $69,339 ", 423 , $-   , $-   ,
Interior design,23%, $11 ," $47,321 "," $47,321 ", 289 , $-   , $-   ,
Landscape architecture,20%, $5 ," $22,534 "," $22,534 ", 137 , $-   , $-   ,
Structural engineer,17%, $3 ," $14,961 "," $14,961 ", 91 , $-   , $-   ,
Civil / site engineer,25%, $2 ," $7,673 "," $7,673 ", 47 , $-   , $-   ,
"Mechanical (HVAC, energy, pools)",23%, $2 ," $8,521 ", $-   , -   ," $1,278 "," $8,521 ",
Electrical (power / lighting),26%, $2 ," $7,237 ", $-   , -   ," $1,086 "," $7,237 ",
Plumbing engineer,29%, $1 ," $6,332 "," $6,332 ", 39 , $-   , $-   ,
Telecomunication,46%, $1 ," $4,272 ", $-   , -   , $641 ," $4,272 ",
Total,,,," $175,480.35 "," 1,070 "," $3,005 "," $20,030 ",
,,,,,,,,
I. Buttom Up Fee Analysis,,,,,,,,
Team Member,Designer 1,Designer 2,Architect,Engineer ,Principal,Ave Rates,,
Rate , $26 , $26 , $26 , $26 , $26 ,,,
Total Labor Cost," $74,318 "," $74,318 "," $74,318 "," $74,318 "," $74,318 "," $371,591 ",,
Total Expenses," $80,707 "," $80,707 "," $93,357 "," $93,357 "," $175,579 "," $523,707 ",,
Total Expenses," $155,025 "," $155,025 "," $167,675 "," $167,675 "," $249,897 "," $895,298 ",,
II. Cost & Pricing-Per Hour,,,,,,,,
Team Member,Designer 1,Designer 2,Architect,Engineer ,Principal,Ave Rates,,
Rate- Labor Cost per hour, $36 , $36 , $36 , $36 , $36 , $36 ,,
Rate -Overhead per hour, $39 , $39 , $42 , $42 , $67 , $46 ,,
Rate -Total Cost, $75 , $75 , $78 , $78 , $103 , $82 ,,
Margin,50%,50%,50%,50%,50%,50%,,
 Rate -Pricing per hour , $150 , $150 , $156 , $156 , $205 , $164 ,,
III. Project Hours & Leverage,,,,,,,,
,,,,,,,,
New CostructionHours Factor, 0.30 ,//Hide Do not show,,,,,,
Existing to Remodel  Hours Factor, 0.27 ,//Hide Do not show,,,,,,
New Costruction Total Hours All-In, -   ,//Hide Do not show,,,,,,
Existing to Remodel Total Hours All-In," 1,371.96 ",//Hide Do not show,,,,,,
Scope, Scope Share Percentage , Hours , Hours by Louis Amy  , Hours Out of Scope ,,,,
Scan to Bim - Building,3%, 36.19 , 36.19 ,,,,,
Scan to Bim - Site,1%, 15.17 , 15.17 ,,,,,
Architecture (Design + Consultant Admin.),35%, 486.58 , 486.58 ,,,,,
Interior design,24%, 332.07 , 332.07 ,,,,,
Landscape architecture,12%, 158.13 , 158.13 ,,,,,
Structural engineer,8%, 104.99 , 104.99 ,,,,,
Civil / site engineer,4%, 53.85 , 53.85 ,,,,,
"Mechanical (HVAC, energy, pools)",4%, 59.80 ,, 59.80 ,,,,
Electrical (power / lighting),4%, 50.79 ,, 50.79 ,,,,
Plumbing engineer,3%, 44.44 , 44.44 ,,,,,
Telecomunication,2%, 29.98 ,, 29.98 ,,,,
Total,100%," 1,371.96 "," 1,231.40 ", 140.56 ,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Project Hours by Phases,,,,,,,,
Discovery,8%, 98.51 ,,,,,,
Creative - Conceptual,8%, 98.51 ,,,,,,
Creative - Shematic,34%, 418.68 ,,,,,,
Creative - Preliminary,8%, 98.51 ,,,,,,
Technical - Shematic,34%, 418.68 ,,,,,,
Technical - Preliminary,8%, 98.51 ,,,,,,
Total ,100%," 1,231.40 ",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Leverage % Per Employees,Designer 1 Leverage,Designer 2 Leverage,Architect Leverage,Engineer Leverage,Principal Leverage,Verification,,
Discovery,37%,37%,10%,2%,14%,100%,,
Creative - Conceptual,0%,0%,95%,0%,5%,100%,,
Creative - Shematic,32%,32%,32%,2%,2%,100%,,
Creative - Preliminary,32%,32%,32%,2%,2%,100%,,
Technical - Shematic,26%,26%,10%,32%,6%,100%,,
Technical - Preliminary,26%,26%,10%,32%,6%,100%,,
Percentage Sum Product,27%,27%,26%,14%,5%,100%,,
Total Hours Per Employees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery, 36 , 36 , 10 , 2 , 14 , 98 ,,
Creative - Conceptual, -   , -   , 94 , -   , 5 , 99 ,,
Creative - Shematic, 134 , 134 , 134 , 8 , 8 , 418 ,,
Creative - Preliminary, 32 , 32 , 32 , 2 , 2 , 100 ,,
Technical - Shematic, 109 , 109 , 42 , 134 , 25 , 419 ,,
Technical - Preliminary, 26 , 26 , 10 , 32 , 6 , 100 ,,
Total, 337.00 , 337.00 , 322.00 , 178.00 , 60.00 ," 1,234 ",,
Project Fees,Designer 1 Hours,Designer 2 Hours,Architect Hours,Engineer Hours,Principal Hours,Total ,,
Discovery," $4,590 "," $4,590 "," $1,326 ", $265 ," $2,440 "," $13,211 ",,
Creative - Conceptual, $-   , $-   ," $12,464 ", $-   , $871 ," $13,336 ",,
Creative - Shematic," $17,085 "," $17,085 "," $17,768 "," $1,061 "," $1,394 "," $54,393 ",,
Creative - Preliminary," $4,080 "," $4,080 "," $4,243 ", $265 , $349 ," $13,017 ",,
Technical - Shematic," $13,898 "," $13,898 "," $5,569 "," $17,768 "," $4,356 "," $55,489 ",,
Technical - Preliminary," $3,315 "," $3,315 "," $1,326 "," $4,243 "," $1,046 "," $13,245 ",,
Total," $42,968 "," $42,968 "," $42,697 "," $23,603 "," $10,455 "," $162,690 ",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Sanity Check,Market % of Construction,Market Rate Per (ft²),Market Total Hours,Market Fee,Percent Diference,Diference,,
Top Down Summary,19%, $39.82 ," 1,070 "," $175,480 ",-9%," $(15,919.65)",,
